iter	Passed	Remaining
766	1080	328
767	1081	326
768	1083	325
769	1084	323
770	1086	322
771	1088	321
772	1093	321
773	1094	319
774	1096	318
775	1097	316
776	1099	315
777	1100	314
778	1102	312
779	1104	311
780	1106	310
781	1108	308
782	1110	307
783	1111	306
784	1115	305
785	1116	304
786	1118	302
787	1120	301
788	1122	300
789	1123	298
790	1125	297
791	1127	296
792	1129	294
793	1131	293
794	1133	292
795	1135	290
796	1136	289
797	1138	288
798	1140	286
799	1141	285
800	1143	284
801	1145	282
802	1147	281
803	1152	280
804	1153	279
805	1155	278
806	1157	276
807	1159	275
808	1161	274
809	1163	273
810	1165	271
811	1166	270
812	1167	268
813	1169	267
814	1170	265
815	1171	264
816	1173	262
817	1174	261
818	1176	260
819	1178	258
820	1179	257
821	1181	255
822	1182	254
823	1183	252
824	1185	251
825	1187	250
826	1188	248
827	1190	247
828	1192	245
829	1193	244
830	1194	243
831	1196	241
832	1197	240
833	1199	238
834	1200	237
835	1202	235
836	1203	234
837	1205	232
838	1206	231
839	1207	230
840	1209	228
841	1210	227
842	1212	225
843	1213	224
844	1214	222
845	1216	221
846	1217	219
847	1218	218
848	1220	217
849	1221	215
850	1223	214
851	1224	212
852	1226	211
853	1227	209
854	1228	208
855	1230	206
856	1231	205
857	1233	204
858	1235	202
859	1237	201
860	1238	200
861	1240	198
862	1241	197
863	1243	195
864	1244	194
865	1245	192
866	1247	191
867	1248	189
868	1250	188
869	1251	187
870	1253	185
871	1254	184
872	1255	182
873	1256	181
874	1258	179
875	1259	178
876	1260	176
877	1261	175
878	1263	173
879	1264	172
880	1266	171
881	1267	169
882	1268	168
883	1269	166
884	1271	165
885	1272	163
886	1273	162
887	1274	160
888	1276	159
889	1277	157
890	1279	156
891	1280	155
892	1282	153
893	1284	152
894	1285	150
895	1286	149
896	1287	147
897	1289	146
898	1290	144
899	1291	143
900	1292	142
901	1294	140
902	1295	139
903	1297	137
904	1298	136
905	1299	134
906	1301	133
907	1302	131
908	1303	130
909	1305	129
910	1306	127
911	1308	126
912	1310	124
913	1311	123
914	1312	121
915	1313	120
916	1315	119
917	1316	117
918	1317	116
919	1319	114
920	1320	113
921	1321	111
922	1323	110
923	1324	108
924	1326	107
925	1327	106
926	1329	104
927	1330	103
928	1332	101
929	1333	100
930	1334	98
931	1336	97
932	1337	96
933	1340	94
934	1341	93
935	1342	91
936	1344	90
937	1345	88
938	1346	87
939	1348	86
940	1349	84
941	1350	83
942	1352	81
943	1353	80
944	1355	78
945	1357	77
946	1358	76
947	1359	74
948	1361	73
949	1362	71
950	1363	70
951	1365	68
952	1366	67
953	1368	65
954	1369	64
955	1371	63
956	1372	61
957	1373	60
958	1375	58
959	1376	57
960	1377	55
961	1379	54
962	1381	53
963	1382	51
964	1384	50
965	1385	48
966	1387	47
967	1388	45
968	1390	44
969	1391	43
970	1393	41
971	1395	40
972	1397	38
973	1398	37
974	1399	35
975	1401	34
976	1402	33
977	1404	31
978	1405	30
979	1407	28
980	1408	27
981	1410	25
982	1412	24
983	1413	22
984	1415	21
985	1416	20
986	1418	18
987	1419	17
988	1420	15
989	1421	14
990	1422	12
991	1424	11
992	1425	10
993	1427	8
994	1428	7
995	1429	5
996	1430	4
997	1431	2
998	1433	1
999	1434	0
